location,attention_score
"-101.843750  34.406250
",7.251008033752441
"-101.781250  33.781250
",6.61094331741333
"-102.156250  33.843750
",6.3716936111450195
"-100.968750  33.531250
",6.032828330993652
"-96.531250  30.031250
",6.230554103851318
"-99.468750  33.218750
",4.894099235534668
"-103.031250  34.281250
",5.396032810211182
"-98.718750  33.031250
",4.782872200012207
"-103.156250  34.156250
",3.5746724605560303
"-98.531250  32.406250
",3.386035919189453
"-98.968750  32.906250
",3.5813283920288086
"-96.531250  30.406250
",2.8783788681030273
"-102.531250  34.406250
",2.792637348175049
"-101.093750  33.468750
",2.7465152740478516
"-101.656250  33.031250
",2.8353703022003174
"-97.218750  31.906250
",2.732663631439209
"-98.781250  33.156250
",2.451262950897217
"-99.031250  32.906250
",2.787856101989746
"-98.968750  32.156250
",2.670363426208496
"-98.906250  32.593750
",2.7080976963043213
"-101.156250  33.093750
",2.5462849140167236
"-102.406250  33.468750
",2.2456109523773193
"-102.093750  33.531250
",2.1470108032226562
"-101.781250  33.656250
",2.5126266479492188
"-97.031250  32.093750
",2.3672642707824707
"-102.031250  33.843750
",2.1030845642089844
"-96.656250  31.406250
",2.1225905418395996
"-101.218750  33.593750
",1.9552048444747925
"-97.843750  31.156250
",2.019573450088501
"-102.718750  34.343750
",1.8994957208633423
"-101.906250  33.968750
",2.0994744300842285
"-99.281250  33.093750
",2.249727964401245
"-100.031250  32.656250
",1.9493367671966553
"-102.093750  33.406250
",1.9704208374023438
"-100.218750  32.343750
",1.9119716882705688
"-98.656250  33.218750
",1.766122817993164
"-102.406250  33.593750
",1.8610492944717407
"-98.593750  31.593750
",2.0860116481781006
"-102.281250  34.031250
",1.796596884727478
"-101.843750  34.281250
",2.00732684135437
"-102.718750  33.781250
",1.7549877166748047
"-99.781250  32.843750
",1.9182519912719727
"-98.718750  32.156250
",2.1345841884613037
"-96.343750  30.343750
",1.739706039428711
"-99.531250  33.031250
",1.6308162212371826
"-102.031250  33.781250
",1.7055227756500244
"-97.906250  32.156250
",1.9909511804580688
"-101.031250  33.406250
",1.9308199882507324
"-98.968750  32.531250
",1.679882526397705
"-101.593750  33.031250
",1.9717228412628174
"-100.718750  33.406250
",1.7076658010482788
"-102.281250  34.156250
",1.6552622318267822
"-98.281250  32.031250
",1.5933153629302979
"-97.093750  32.156250
",1.8120990991592407
"-101.968750  33.781250
",1.9168990850448608
"-96.468750  30.593750
",1.447921633720398
"-97.031250  31.718750
",1.33211350440979
"-99.593750  33.156250
",1.644207239151001
"-102.031250  33.281250
",1.3586138486862183
"-98.593750  32.218750
",1.3235268592834473
"-96.031250  30.531250
",1.4302059412002563
"-97.843750  32.281250
",1.7639319896697998
"-101.218750  33.406250
",1.377004861831665
"-101.718750  34.093750
",1.3300279378890991
"-98.343750  33.156250
",1.4736658334732056
"-101.593750  34.156250
",1.3144586086273193
"-97.843750  30.843750
",1.383044958114624
"-101.843750  34.093750
",1.4963182210922241
"-96.093750  29.968750
",1.7034215927124023
"-102.218750  33.593750
",1.2791911363601685
"-103.531250  34.406250
",1.581502914428711
"-101.218750  33.781250
",1.2599461078643799
"-102.156250  33.718750
",1.2889330387115479
"-103.031250  34.343750
",1.1471818685531616
"-101.343750  33.718750
",1.3981654644012451
"-99.281250  33.218750
",1.648759126663208
"-96.593750  31.718750
",1.0812567472457886
"-99.656250  33.218750
",1.2624709606170654
"-100.656250  33.468750
",1.4651520252227783
"-102.656250  33.906250
",1.498136043548584
"-103.156250  33.906250
",1.52937912940979
"-98.156250  32.656250
",1.4057563543319702
"-99.843750  32.906250
",1.5530054569244385
"-103.031250  34.093750
",1.0607479810714722
"-97.281250  31.968750
",1.3540061712265015
"-101.718750  33.343750
",1.2224088907241821
"-103.218750  34.093750
",1.0618566274642944
"-96.468750  30.468750
",1.0932607650756836
"-102.218750  34.406250
",1.5067343711853027
"-101.843750  34.156250
",1.1427291631698608
"-101.156250  33.718750
",1.0001519918441772
"-99.968750  32.343750
",1.1558932065963745
"-99.593750  32.906250
",1.1431211233139038
"-100.468750  32.531250
",1.0051084756851196
"-102.468750  33.968750
",0.9483362436294556
"-101.593750  34.031250
",0.9564146399497986
"-103.656250  34.156250
",0.918317437171936
"-96.343750  30.656250
",1.256258487701416
"-97.718750  31.468750
",1.110466718673706
"-97.281250  30.593750
",0.9437463283538818
"-101.281250  33.406250
",0.9931898713111877
"-96.906250  30.281250
",1.2177340984344482
"-98.406250  32.156250
",1.1242955923080444
"-99.843750  32.843750
",0.9273908138275146
"-101.843750  33.218750
",1.3208562135696411
"-96.656250  30.281250
",1.1423135995864868
"-101.968750  33.531250
",1.4020825624465942
"-96.031250  30.093750
",1.2341636419296265
"-96.343750  30.468750
",1.0329912900924683
"-97.031250  31.781250
",1.183668613433838
"-102.468750  34.093750
",0.9577195644378662
"-96.218750  30.531250
",1.010207176208496
"-96.718750  30.281250
",1.3223235607147217
"-97.593750  30.781250
",1.1508551836013794
"-96.968750  30.468750
",1.0749285221099854
"-95.343750  28.968750
",1.1012728214263916
"-103.093750  34.093750
",1.177345871925354
"-97.843750  32.906250
",0.9448065757751465
"-98.281250  32.968750
",0.9999204277992249
"-103.468750  34.593750
",1.3077569007873535
"-96.718750  30.218750
",1.0922988653182983
"-96.843750  31.781250
",1.237878680229187
"-96.656250  31.093750
",1.1230027675628662
"-96.031250  30.031250
",1.2450487613677979
"-96.906250  30.656250
",1.2448924779891968
"-96.656250  30.343750
",1.1909246444702148
"-102.468750  34.218750
",0.8763020038604736
"-102.656250  33.968750
",0.7995092868804932
"-98.781250  33.031250
",1.3194339275360107
"-100.656250  32.531250
",0.9701445698738098
"-98.968750  32.718750
",1.2319512367248535
"-103.218750  34.656250
",1.0066659450531006
"-97.718750  30.531250
",1.1024340391159058
"-102.906250  33.656250
",1.2779428958892822
"-96.156250  30.468750
",0.9074560403823853
"-98.843750  32.906250
",0.7574924826622009
"-96.343750  30.531250
",1.0318971872329712
"-96.656250  30.593750
",0.9512753486633301
"-102.343750  34.593750
",1.2061119079589844
"-96.468750  30.718750
",0.9450687766075134
"-97.093750  31.781250
",0.8202358484268188
"-96.781250  30.156250
",0.8078990578651428
"-101.718750  33.593750
",1.2071141004562378
"-96.656250  30.718750
",1.2194074392318726
"-103.593750  34.406250
",1.2291467189788818
"-100.843750  33.468750
",0.8118758797645569
"-96.843750  30.531250
",1.1867201328277588
"-96.593750  30.656250
",0.9631716012954712
"-103.156250  34.218750
",0.9968384504318237
"-103.718750  33.718750
",1.239009141921997
"-101.093750  33.281250
",0.8575275540351868
"-96.718750  30.531250
",0.8474223613739014
"-95.656250  29.281250
",1.1880500316619873
"-96.781250  30.906250
",1.0486658811569214
"-102.406250  33.781250
",1.1044070720672607
"-97.406250  30.468750
",1.1944019794464111
"-103.781250  33.906250
",0.8821672201156616
"-102.843750  33.656250
",0.7771753072738647
"-97.781250  30.593750
",0.91289222240448
"-103.218750  33.906250
",0.8964928388595581
"-97.281250  31.593750
",0.8832440376281738
"-100.656250  33.343750
",0.8230330348014832
"-97.031250  31.593750
",0.9649608135223389
"-96.718750  30.156250
",1.2664556503295898
"-96.468750  30.843750
",0.8890079855918884
"-96.656250  30.218750
",0.9182769060134888
"-98.656250  31.718750
",0.964813768863678
"-101.718750  33.718750
",1.1380611658096313
"-97.656250  31.406250
",1.0835232734680176
"-95.718750  29.343750
",1.1573266983032227
"-96.781250  30.656250
",0.9019670486450195
"-97.031250  30.406250
",1.1182090044021606
"-103.406250  34.218750
",0.7706376910209656
"-101.031250  32.968750
",1.1557047367095947
"-96.656250  30.156250
",0.9504320621490479
"-97.281250  31.781250
",0.8050374388694763
"-96.781250  30.281250
",1.1968131065368652
"-95.531250  29.343750
",1.0319575071334839
"-98.468750  31.906250
",1.0263123512268066
"-96.156250  30.531250
",0.9290642738342285
"-96.906250  30.406250
",0.7995169758796692
"-100.593750  32.468750
",1.1193702220916748
"-96.593750  30.781250
",1.0017969608306885
"-103.156250  34.656250
",1.198259711265564
"-97.781250  32.531250
",1.2183910608291626
"-101.468750  33.656250
",0.7461844682693481
"-100.718750  32.593750
",0.9474456906318665
"-97.093750  31.468750
",0.8987065553665161
"-103.281250  34.156250
",1.0310651063919067
"-96.406250  30.718750
",0.9707856178283691
"-100.718750  32.531250
",0.9316107034683228
"-95.593750  29.593750
",0.9052810668945312
"-97.656250  30.468750
",0.9502115249633789
"-103.281250  34.656250
",1.1706713438034058
"-97.906250  31.468750
",0.8247556686401367
"-97.593750  31.093750
",0.9097729921340942
"-96.093750  30.843750
",1.0735814571380615
"-97.093750  31.406250
",1.03458833694458
"-100.718750  32.468750
",1.1413968801498413
"-101.218750  33.656250
",1.1844322681427002
"-95.781250  29.531250
",1.0834826231002808
"-96.718750  30.656250
",0.8841404914855957
"-102.656250  34.593750
",1.0846062898635864
"-102.781250  34.531250
",0.871644139289856
"-97.406250  31.093750
",0.8667283058166504
"-99.281250  32.781250
",0.8007329702377319
"-96.656250  30.656250
",0.8796947002410889
"-97.343750  30.968750
",1.1613037586212158
"-102.843750  34.531250
",1.0093567371368408
"-97.281250  30.531250
",0.9655797481536865
"-98.656250  33.281250
",0.718011200428009
"-95.968750  30.343750
",0.7454519271850586
"-96.531250  31.718750
",0.9080666899681091
"-97.281250  30.906250
",0.8501708507537842
"-97.031250  30.343750
",1.1317481994628906
"-95.468750  29.343750
",0.9725403189659119
"-96.656250  31.656250
",0.7464397549629211
"-99.281250  32.968750
",1.1309089660644531
"-95.718750  29.406250
",1.14362370967865
"-97.531250  32.218750
",1.1117568016052246
"-98.531250  32.531250
",1.060016393661499
"-101.718750  34.281250
",0.7507721185684204
"-95.968750  30.718750
",0.7548602819442749
"-96.281250  31.218750
",0.7840279936790466
"-99.781250  33.093750
",0.7550504207611084
"-95.593750  29.406250
",0.8134256601333618
"-96.406250  30.593750
",1.055886149406433
"-101.906250  33.156250
",0.7054975032806396
"-95.468750  29.281250
",0.9632365703582764
"-96.656250  30.406250
",0.7987004518508911
"-102.343750  33.906250
",1.164933443069458
"-96.406250  31.281250
",0.7988287806510925
"-100.656250  32.468750
",0.7422930598258972
"-96.843750  30.406250
",0.7429678440093994
"-95.781250  29.406250
",0.7683010697364807
"-96.093750  31.031250
",0.7712534666061401
"-103.406250  34.468750
",1.0214669704437256
"-96.781250  30.718750
",0.9162601232528687
"-100.843750  33.406250
",1.1146371364593506
"-97.968750  31.968750
",0.8333985805511475
"-99.093750  32.281250
",0.839158296585083
"-98.531250  32.031250
",0.7125098705291748
"-97.031250  31.531250
",0.7722453474998474
"-98.781250  33.218750
",0.9143372774124146
"-97.531250  30.843750
",1.0292961597442627
"-97.093750  30.718750
",1.006101369857788
"-96.406250  30.781250
",0.8383808732032776
"-96.281250  30.968750
",0.8381826877593994
"-96.468750  31.656250
",0.7672884464263916
"-99.406250  32.281250
",0.9264750480651855
"-103.843750  34.406250
",0.9436861276626587
"-98.281250  31.531250
",0.8004723191261292
"-100.906250  33.593750
",0.7421838045120239
"-96.593750  30.593750
",0.8766883015632629
"-96.531250  30.968750
",1.041544795036316
"-97.031250  30.156250
",1.0835933685302734
"-96.468750  31.093750
",0.8509006500244141
"-97.156250  32.031250
",1.062477946281433
"-96.468750  29.906250
",0.7244917750358582
"-98.093750  31.531250
",1.0494306087493896
"-96.343750  31.343750
",0.8649723529815674
"-98.531250  32.843750
",0.7820819020271301
"-100.281250  32.656250
",0.8368499875068665
"-96.531250  31.656250
",0.9355430603027344
"-99.531250  33.406250
",1.0565053224563599
"-100.531250  32.343750
",0.7890018224716187
"-96.343750  31.718750
",1.0268359184265137
"-102.531250  34.531250
",0.70994633436203
"-102.843750  34.093750
",0.8509781360626221
"-99.406250  32.843750
",0.9580843448638916
"-96.843750  31.593750
",1.002132534980774
"-95.906250  29.531250
",0.7508857846260071
"-97.531250  31.218750
",0.8325745463371277
"-97.218750  30.593750
",0.8367911577224731
"-96.156250  31.156250
",0.7669142484664917
"-96.218750  31.593750
",1.013330101966858
"-97.031250  31.843750
",0.9172338247299194
"-97.406250  32.468750
",1.071624994277954
"-98.718750  32.031250
",1.0709636211395264
"-96.656250  30.093750
",0.7069786787033081
"-99.968750  32.656250
",0.7471184134483337
"-101.781250  33.156250
",0.829228937625885
"-96.843750  30.593750
",0.9135934114456177
"-96.281250  31.281250
",0.8265568017959595
"-95.843750  29.531250
",0.8875247240066528
"-98.531250  31.968750
",0.7297478914260864
"-96.093750  30.718750
",0.8126303553581238
"-101.843750  33.281250
",0.9296983480453491
"-103.156250  34.468750
",0.887540340423584
"-97.593750  30.968750
",0.8622295260429382
"-95.468750  29.406250
",0.8781416416168213
"-96.031250  29.656250
",0.8078852891921997
"-99.468750  33.156250
",0.7887364625930786
"-98.468750  31.718750
",0.77979576587677
"-96.343750  31.031250
",0.7756967544555664
"-96.156250  30.843750
",0.8872778415679932
"-97.531250  31.343750
",0.7711958885192871
"-96.343750  31.406250
",0.756365954875946
"-96.906250  30.468750
",1.0282366275787354
"-97.468750  30.468750
",0.8754780292510986
"-95.843750  29.593750
",0.810767412185669
"-99.781250  33.031250
",0.80882328748703
"-96.718750  31.343750
",0.8121787309646606
"-97.656250  31.093750
",0.8243602514266968
"-101.843750  32.968750
",0.9788757562637329
"-96.281250  31.343750
",0.7712538838386536
"-102.093750  34.156250
",0.837874174118042
"-98.593750  32.968750
",0.8148411512374878
"-103.343750  34.656250
",0.7359580993652344
"-98.343750  31.968750
",0.7134242057800293
"-96.218750  31.093750
",0.7159048318862915
"-98.343750  31.843750
",0.9827569723129272
"-96.968750  30.406250
",0.7436271905899048
"-96.531250  30.718750
",0.8863562345504761
"-103.781250  34.156250
",0.8118070363998413
"-97.281250  31.906250
",0.7467963695526123
"-96.281250  29.843750
",0.7548853754997253
"-96.343750  31.218750
",0.754723846912384
"-95.468750  29.156250
",0.9083490371704102
"-95.656250  29.343750
",0.804073691368103
"-97.531250  30.593750
",0.8095850944519043
"-96.468750  31.593750
",0.7356525659561157
"-99.031250  33.218750
",1.0210872888565063
"-96.906250  30.593750
",0.8459253311157227
"-97.906250  32.718750
",0.7899386882781982
"-96.718750  30.593750
",0.9475968480110168
"-97.781250  32.218750
",0.9513595700263977
"-103.593750  34.031250
",0.8598704934120178
"-97.156250  30.468750
",0.8325398564338684
"-96.281250  30.718750
",0.7296301126480103
"-98.218750  31.281250
",0.8759362101554871
"-97.593750  32.531250
",0.8307672739028931
"-96.468750  30.781250
",0.7766538858413696
"-96.718750  31.781250
",0.7235089540481567
"-99.656250  33.281250
",0.9554170370101929
"-96.281250  29.968750
",0.9650276303291321
"-96.531250  30.656250
",0.7185124754905701
"-96.406250  30.281250
",0.9630107879638672
"-96.406250  31.531250
",0.8883403539657593
"-98.656250  31.843750
",0.8951914310455322
"-97.343750  30.468750
",0.7208375930786133
"-98.468750  32.156250
",0.8182475566864014
"-98.906250  32.781250
",0.7894564867019653
"-101.406250  34.093750
",0.7674054503440857
"-96.906250  30.781250
",0.8510704636573792
"-95.468750  29.031250
",0.768349289894104
"-98.968750  33.093750
",0.7656800150871277
"-98.406250  33.093750
",0.8166837692260742
"-95.968750  29.781250
",0.7284162044525146
"-97.343750  30.406250
",0.7099430561065674
"-103.656250  34.531250
",0.7037346363067627
"-97.906250  32.968750
",0.8248034715652466
"-97.156250  30.656250
",0.7578682899475098
"-98.406250  31.781250
",0.7344469428062439
"-97.093750  31.656250
",0.7914451360702515
"-98.281250  31.656250
",0.7921776175498962
"-101.718750  34.156250
",0.9330887198448181
"-97.281250  30.968750
",0.7042198181152344
"-96.781250  31.656250
",0.8346249461174011
"-97.406250  30.593750
",0.884496808052063
"-96.718750  30.718750
",0.7211481332778931
"-98.718750  32.781250
",0.8370035290718079
"-102.406250  34.531250
",0.7782295942306519
"-97.718750  31.718750
",0.7545146942138672
"-101.281250  33.531250
",0.8749128580093384
"-97.968750  32.656250
",0.7661923170089722
"-102.843750  34.593750
",0.7805156111717224
"-100.468750  32.218750
",0.7840140461921692
"-95.406250  29.156250
",0.8089828491210938
"-97.218750  31.468750
",0.824827253818512
"-97.593750  30.906250
",0.754413366317749
"-97.656250  32.593750
",0.835835874080658
"-96.906250  31.343750
",0.7351926565170288
"-98.531250  31.781250
",0.8532171249389648
"-101.906250  34.093750
",0.7507627010345459
"-100.156250  32.281250
",0.8184161186218262
"-98.656250  33.343750
",0.7179813981056213
"-97.343750  31.531250
",0.7859943509101868
"-98.718750  32.843750
",0.7774267792701721
"-96.718750  30.406250
",0.7217055559158325
"-96.593750  31.343750
",0.7435182332992554
"-95.531250  29.593750
",0.8487148284912109
"-98.843750  31.906250
",0.8597308397293091
"-97.093750  30.468750
",0.8189166784286499
"-97.343750  30.718750
",0.7503555417060852
"-97.281250  30.406250
",0.7582199573516846
"-101.781250  34.093750
",0.7240378856658936
"-98.593750  33.281250
",0.7154320478439331
"-97.781250  32.281250
",0.7058864831924438
"-103.281250  34.031250
",0.8174021244049072
"-95.843750  29.468750
",0.7212759256362915
"-98.031250  31.468750
",0.8407270908355713
"-103.343750  34.531250
",0.7223922610282898
"-98.531250  31.656250
",0.8059836030006409
"-96.906250  30.218750
",0.7472512722015381
"-96.406250  30.968750
",0.7337683439254761
"-97.281250  30.656250
",0.7341636419296265
"-97.281250  32.156250
",0.7107270956039429
"-96.218750  30.718750
",0.7935941219329834
"-102.093750  34.468750
",0.7279314994812012
"-103.093750  34.468750
",0.7175041437149048
"-96.656250  30.468750
",0.8034816980361938
"-103.281250  34.531250
",0.7547723650932312
"-98.093750  32.843750
",0.8129991888999939
"-102.968750  34.031250
",0.7640496492385864
"-101.468750  33.718750
",0.7350398898124695
"-100.968750  33.406250
",0.708401083946228
"-103.718750  33.968750
",0.7829872369766235
"-95.968750  30.156250
",0.8075847029685974
"-103.281250  34.093750
",0.7896169424057007
"-98.031250  32.656250
",0.7968699336051941
"-98.968750  33.031250
",0.7710554599761963
"-98.406250  32.968750
",0.7048464417457581
"-96.468750  30.218750
",0.7444053292274475
"-96.218750  30.843750
",0.7709968090057373
"-96.468750  30.968750
",0.7303208708763123
"-102.031250  33.218750
",0.7823726534843445
"-96.468750  30.531250
",0.7281416058540344
"-101.656250  34.281250
",0.7203872203826904
"-97.531250  31.531250
",0.7196096181869507
"-102.406250  33.843750
",0.7357116341590881
"-97.531250  32.468750
",0.7135287523269653
